PLoS_One_ID	AGI	group	Publications
At_F0204	AT5G56400	4	0
At_F0212	AT1G47765	4	0
At_F0226	AT3G22421	4	0
At_F0229	AT1G31090	4	0
At_F0243	AT2G39415	4	0
At_F0245	AT3G29830	4	0
At_F0246	AT3G18150	4	0
At_F0252	AT5G22670	4	0
At_F0256	AT3G51171	4	0
At_F0259	AT1G53550	4	0
At_F0262	AT3G17270	4	0
At_F0272	AT3G28223	4	0
At_F0275	AT5G25850	4	0
At_F0281	AT4G09870	4	0
At_F0290	AT1G47300	4	0
At_F0293	AT3G49020	4	0
At_F0296	AT5G38810	4	0
At_F0298	AT3G44090	4	0
At_F0300	AT5G28160	4	0
At_F0312	AT5G37040	4	0
At_F0332	AT5G56820	4	0
At_F0333	AT2G02890	4	0
At_F0335	AT5G56690	4	0
At_F0337	AT1G16930	4	0
At_F0339	AT3G44080	4	0
At_F0344	AT3G52680	4	0
At_F0345	AT5G15670	4	0
At_F0358	AT3G23955	4	0
At_F0359	AT1G49990	4	0
At_F0363	AT5G38396	4	0
At_F0367	AT5G22791	4	0
At_F0374	AT3G24610	4	0
At_F0376	AT3G25550	4	0
At_F0381	AT5G52610	4	0
At_F0382	AT3G49040	4	0
At_F0383	AT4G05080	4	0
At_F0384	AT3G58860	4	0
At_F0386	AT1G32375	4	0
At_F0393	AT3G58880	4	0
At_F0394	AT1G14315	4	0
At_F0396	AT4G03220	4	0
At_F0398	AT5G56440	4	0
At_F0399	AT5G60560	4	0
At_F0400	AT1G53815	4	0
At_F0401	AT1G59675	4	0
At_F0419	AT5G16285	4	0
At_F0431	AT2G43445	4	0
At_F0433	AT3G49150	4	0
At_F0441	AT4G14905	4	0
At_F0444	AT2G40925	4	0
At_F0447	AT1G66320	4	0
At_F0448	AT5G44950	4	0
At_F0455	AT5G53640	4	0
At_F0457	AT1G22000	4	0
At_F0462	AT5G56430	4	0
At_F0480	AT1G21990	4	0
At_F0487	AT3G17265	4	0
At_F0488	AT1G61060	4	0
At_F0490	AT4G09920	4	0
At_F0493	AT1G57690	4	0
At_F0497	AT5G44960	4	0
At_F0499	AT5G03020	4	0
At_F0504	AT1G71320	4	0
At_F0511	AT3G23420	4	0
At_F0512	AT5G38570	4	0
At_F0525	AT3G58910	4	0
At_F0527	AT1G70360	4	0
At_F0528	AT3G59240	4	0
At_F0536	AT4G05620	4	0
At_F0537	AT5G39470	4	0
At_F0545	AT5G35995	4	0
At_F0546	AT5G62970	4	0
At_F0550	AT5G56410	4	0
At_F0552	AT3G14710	4	0
At_F0562	AT4G12382	4	0
At_F0568	AT3G55900	4	0
At_F0576	AT5G41630	4	0
At_F0579	AT1G49610	4	0
At_F0580	AT1G77650	4	0
At_F0582	AT1G67455	4	0
At_F0587	AT3G10510	4	0
At_F0597	AT1G66300	4	0
At_F0601	AT5G44490	4	0
At_F0606	AT1G61330	4	0
At_F0607	AT5G39490	4	0
At_F0608	AT4G00893	4	0
At_F0614	AT5G41720	4	0
At_F0618	AT5G02990	4	0
At_F0624	AT5G52620	4	0
At_F0633	AT4G11580	4	0
At_F0636	AT5G56560	4	0
At_F0637	AT2G24510	4	0
At_F0639	AT1G57580	4	0
At_F0642	AT4G10695	4	0
At_F0652	AT5G56570	4	0
At_F0657	AT5G51370	4	0
At_F0660	AT4G00320	4	0
At_F0661	AT5G44970	4	0
At_F0673	AT2G35280	4	0
At_F0682	AT3G56670	4	0
At_F0689	AT1G74875	4	0
At_F0690	AT5G22590	4	0
At_F0692	AT3G03405	4	0
At_F0693	AT5G62860	4	0
At_F0698	AT3G30430	4	0
At_F0701	AT1G19410	4	0
At_F0704	AT1G56610	4	0
At_F0708	AT2G07120	4	0
At_F0047	AT5G36820	4	0
